;STR_ESID;SPACY_DE;SPACY_DE_LEMMA;SPACY_DE_ENT;SPACY_FR;SPACY_FR_LEMMA;SPACY_FR_ENT;STN_LABEL_x;DIC_Lebewesen;DIC_Ortschaft;DIC_Berufe;DIC_Gewässer;DIC_Berg;DIC_Siedlung;DIC_Religion;DIC_Natur;wikiQLabel;wikiQ;sex_x;birth;death;placebirth;placedeath;image;classif;qid;instanceLabel;dateBirth;pic;sex_y;instance_x;STN_LABEL_y;STN_LABEL_FINAL;str_name;snb_erlaeuterung;STN_LABEL;instance_y;instance
2363;10014465;Oron;Oron;;Oron;Oron;LOC;Route d'Oron;;Oron;;;;;;;;;;;;;;;Ortschaft;Q70734;Q70208;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Oron-la-Ville%2C%20temple%20d%27Oron.jpg;;Ortschaft;Route d'Oron;Oron;;;;;Ortschaft
2524;10144880;Cerisiers;Cerisier;;Cerisiers;cerisier;;Chemin des Cerisiers;Cerisier;;;;;;;;;;;;;;;;Lebewesen;Q2946681;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Fr%C3%BChling%20bl%C3%BChender%20Kirschenbaum.jpg;;Lebewesen;Chemin des Cerisiers;Cerisiers;;;;;Lebewesen
2527;10118595;Oron;Oron;;Oron;Oron;LOC;Route d'Oron;;Oron;;;;;;;;;;;;;;;Ortschaft;Q70734;Q70208;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Oron-la-Ville%2C%20temple%20d%27Oron.jpg;;Ortschaft;Route d'Oron;Oron;;;;;Ortschaft
2540;10020659;Pecheurs;Pecheurs;;Pecheurs;Pecheurs;;Chemin des Pêcheurs;;;pecheur;;;;;;;;;;;;;;Beruf;Q331432;Q28640;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Fisherman%20and%20his%20catch%20Seychelles.jpg;;Beruf;Chemin des Pêcheurs;Pecheurs;;;;;Beruf
2603;10022177;Tavel;Tavel;;Tavel;tavel;;Tavelweg;;;;;;;;;;;;;;;;;Andere;Q124667;Q5;1866-12-21T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Tavel.jpg;male;Person;Tavelweg;Tavel;;;;;Person
2611;10128583;Hallwyl;Hallwyl;;Hallwyl;Hallwyl;;Hallwylstrasse;;;;;;;;;;;;;;;;;Andere;Q118091;Q5;1434-01-01T00:00:00Z;kein;male;Person;Hallwylstrasse;Hallwyl;;;;;Person
2629;10022673;Epinettes;Epinette;;Epinettes;epinette;;Chemin des Epinettes;epine;;;;;;;;;;;;;;;;Lebewesen;Q26782;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Engelmann%20Spruce%20cones%20RMNP.jpg;;Lebewesen;Chemin des Epinettes;Epinettes;;;;;Lebewesen
2654;10021796;Payerne;Payerne;;Payerne;Payerne;;Route de Payerne;;Payerne;;;;;;;;;;;;;;;Ortschaft;Q69525;Q70208;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Picswiss%20VD-49-06.jpg;;Ortschaft;Route de Payerne;Payerne;;;;;Ortschaft
2693;10072781;Alpen;Alpen;LOC;Alpen;Alpen;;Alpenstrasse;;;;;alpen;;;;;;;;;;;;Berg;Q1286;Q46831;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mont%20Blanc%20oct%202004.JPG;;Berg;Alpenstrasse;Alpen;;;;;Berg
2709;10167539;Pecheurs;Pecheurs;;Pecheurs;Pecheurs;;Chemin des Pêcheurs;;;pecheur;;;;;;;;;;;;;;Beruf;Q331432;Q28640;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Fisherman%20and%20his%20catch%20Seychelles.jpg;;Beruf;Chemin des Pêcheurs;Pecheurs;;;;;Beruf
2721;10111877;Güter;Gut;;Güter;Güter;;Güterstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Güterstrasse;Auf dem ehemaligen Güterbahnhof-Areal gelegene Verbindungsstrasse im neuen Polizei- und Justizzentrum Zürich PJZ.;Güterstrasse;Siedlung;Siedlung
2736;10097721;Berg;Berg;;Berg;Berg;;Bergstrasse;Berg;Berg;;;berg$;;;;;;;;;;;;Berg;;;;;;;;;Bergstrasse;Um 1877 angelegte Strasse entlang des Adlisberghanges, die vom Klusplatz nach Fluntern führt. Zuvor gab es dort einen Verbindungsweg, der als «oberer Fussweg» bezeichnet wurde. Die dem «Berg» entlang führende Strasse wurde nach 1890 wichtig für die bauliche Entwicklung Hottingens, das seit 1893 ein Stadtteil Zürichs ist.;Bergstrasse;Berg;Berg
2817;10205823;Känzeli;Känzeli;;Känzeli;Känzeli;MISC;Känzeliweg;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Känzeliweg;Weg nach einer 1884 erstellten, heute aber abgegangenen Aussichtsterrasse, einem Aussichts-Känzeli.;Känzeliweg;Siedlung;Siedlung
2826;10077327;Wiesen;Wiese;;Wiesen;Wiesen;PER;Wiesenstrasse;;;;;;;;wiese;http://www.wikidata.org/entity/Q95124923;Wiesen;;;;;;;Natur;;;;;;;;;Wiesenstrasse;Name einer neuen, 1870 erstellten Verbindungsstrasse, die durch eine noch offene und unüberbaute Wiese führte.;Wiesenstrasse;Natur;Natur
2864;10038223;Güetli;Güetli;;Güetli;Güetli;;Güetliweg;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Güetliweg;Siedlung der Kleinheimwesenkolonie Oberwiesen, die 1929 durch die Schweizerischen Vereinigung für Innenkolonisation und industrielle Landwirtschaft errichtet wurde. Die Innenkolonisation wollte neue landwirtschaftliche Betriebe oder auf weitgehender Selbstversorgung basierende Kolonien schaffen. Diese Kleinheimwesen konnten als Güetli bezeichnet werden. Die Kleinheimwesenkolonie Oberwiesen in Oerlikon wurde schon 1931 wieder aufgelöst.;Güetliweg;Siedlung;Siedlung
2883;10095424;West;West;;West;west;;Weststrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Weststrasse;"Strasse in Wiedikon, die bis zum Jahr der ersten Zürcher Eingemeindung 1892/93 Zürcherstrasse hiess. Der neue Name war wohl, nach dem Vorbild anderer Grossstädte, der Lage der Strasse im Westen der Stadt und am damaligen Rand des Siedlungsgebietes zu verdanken; eine Parallellstrasse mit noch unüberbauten Parzellen hiess entsprechend Westendstrasse. In Riesbach auf der anderen Stadtseite wurde 1892 eine Strasse in Südstrasse umbenannt.";Weststrasse;Andere;Andere
2888;10106556;Feld;Feld;;Feld;Feld;;Feldstrasse;;;;;;;;feld;;;;;;;;;Natur;;;;;;;;;Feldstrasse;Strasse durch das sogenannte Sihlfeld, das flache Schwemmland zwischen dem Sihlfluss und der Hard gegen die Limmat hin. Das Sihlfeld oder Feld diente den Bauern von Wiedikon und Aussersihl bis gegen Ende des 19. Jahrhunderts als Ackerland. Die Äcker im Sihlfeld werden bereits in einer Urkunde von 1230 erwähnt.;Feldstrasse;Natur;Natur
2912;10109534;Kasernen;Kaserne;;Kasernen;Kasernen;;Kasernenstrasse;;;;;;kaserne;;;;;;;;;;;Siedlung;;;;;;;;;Kasernenstrasse;Benannt nach der 1873 bis 1875 erbauten grossen Militärkaserne, deren Haupteingänge sich gegen die Kasernenstrasse hin öffnen. Zuvor hiess die Strasse in Aussersihl, die von der Sihlbrücke her der Sihl entlang führt, auch Kreuelstrasse (nach der dortigen alten Ortsgegend Kreuel), Bahnhofstrasse (nach dem 1846-1847 erbauten, nahen Bahnhof Zürich) und Sihlstrasse. Im Jahr 1927 wurde die neue Strasse längs der Sihlpost zur Fortsetzung der Kasernenstrasse.;Kasernenstrasse;Siedlung;Siedlung
2920;10188626;Bungert;Bungert;;Bungert;Bungert;;Bungertweg;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Bungertweg;Flurname «Bungert», Mundartform von Baumgarten.;Bungertweg;Siedlung;Siedlung
2966;10118584;Burg;Burg;;Burg;Burg;;Burgweg;;Burg;;;;burg;;;;;;;;;;;Siedlung;;;;;;;;;Burgweg;Teil des Weges, der über die Weinegg ins «Burgholz» oder «Burghölzli» führt. Der bewaldete Hügel «Burg» oberhalb von Riesbach wird schon im 13. Jahrhundert erwähnt. Seit der Zeit um 1500 gehörte er zum grössten Teil der Gemeinde Riesbach, die daraus ihr Holz bezog. Der Name lässt eine Burgstelle vermuten. Von einer solchen, zum Beispiel von einer im 16. und 17. Jahrhundert dorthin verlegten «Biberlinsburg», ist aber weder urkundlich noch archäologisch etwas bekannt.;Burgweg;Siedlung;Siedlung
3078;10039464;Heim;Heim;;Heim;Heim;;Heimstrasse;;;;;;;;;http://www.wikidata.org/entity/Q56448691;Heim;männlich;;;;;;Person;Q117598;Q5;1845-10-07T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20Heim-V%C3%B6gtlin.jpg;female;Person;Heimstrasse;Heim;;;;;Person
3141;10039431;Arosa;Arosa;;Arosa;Arosa;;Arosastrasse;;Arosa;;;;;;;;;;;;;;;Ortschaft;;;;;;;;;Arosastrasse;Gemeinde und Kurort in Graubünden, beliebter Wintersportort der Zürcher.;Arosastrasse;Ortschaft;Ortschaft
3143;10206365;Hinterberg;Hinterberg;;Hinterberg;Hinterberg;;Hinterbergstrasse;;;;;berg$;;;;;;;;;;;;Berg;;;;;;;;;Hinterbergstrasse;Strasse nach dem Hinterberg, einem der alten Ortsteile von Fluntern. Dieser bestand um 1840 bereits aus 32 Wohnhäusern. Zu den weiteren Ortsteilen der Gemeinde Fluntern gehörten auch ein Mittelberg und ein Vorderberg.;Hinterbergstrasse;Berg;Berg
3145;10132621;Flieder;Flieder;;Flieder;Flieder;;Fliederweg;Flieder;;;;;;;;;;;;;;;;Lebewesen;Q157449;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Stockholm-lilac.jpg;;Lebewesen;Fliederweg;Flieder;;;;;Lebewesen
3150;10038824;Specht;Specht;;Specht;Specht;PER;Spechtweg;Specht;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Spechtweg;Tiername, Vogelart.;Spechtweg;Lebewesen;Lebewesen
3185;10094957;Sonnenberg;Sonnenberg;;Sonnenberg;Sonnenberg;;Sonnenbergstrasse;;;;;berg$;;;;;;;;;;;;Berg;;;;;;;;;Sonnenbergstrasse;Flurname am Adlisberg, der dem zwischen 1893 und 1896 errichteten Hotel Sonnenberg, Aurorastrasse 101, und dem 1909 bis 1911 gebauten ehemaligen Waisenhaus Sonnenberg, Oberer Heuelsteig 15, den Namen gab.;Sonnenbergstrasse;Andere;Andere
3293;10067631;Paradies;Paradies;;Paradies;paradie;;Paradiesstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Paradiesstrasse;Flurname «Im Barendiss» (1520), «Berendyss» (1628), «Paradys» (1788). Die Bezeichnung verweist auf hochgelegene, fruchtbare, in bevorzugter Lage liegende Grundstücke in Zürich-Wollishofen oder ironisch auf schwer zu bearbeitendes Gelände.;Paradiesstrasse;Andere;Andere
3386;10173058;Bahnhof;Bahnhof;;Bahnhof;bahnhof;;Bahnhofplatz;;;;;;hof$;;;;;;;;;;;Siedlung;;;;;;;;;Bahnhofplatz;Platzanlage vor dem Hauptbahnhof Zürich, entstanden in den 1860er Jahren im Zusammenhang mit der Planung und dem Bau des Bahnhofquartiers, insbesondere mit der 1863-1864 angelegten unteren Bahnhofstrasse und dem 1865-1871 neu erbauten Bahnhofgebäude.;Bahnhofplatz;Siedlung;Siedlung
3464;10091499;Appenzeller;Appenzeller;;Appenzeller;Appenzeller;;Appenzellerstrasse;;Appenzell;;;;;;;;;;;;;;;Ortschaft;;;;;;;;;Appenzellerstrasse;Seit dem 15. Jahrhundert in Höngg ansässige Familie.;Appenzellerstrasse;Person;Person
3472;10091296;Nelken;Nelke;;Nelken;Nelken;;Nelkenweg;Nelke;;;;;;;;;;;;;;;;Lebewesen;Q156099;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Dianthus%20plumarius0.jpg;;Lebewesen;Nelkenweg;Nelken;;;;;Lebewesen
3486;10031661;Freudenberg;Freudenberg;;Freudenberg;Freudenberg;PER;Freudenbergstrasse;;;;;berg$;;;;http://www.wikidata.org/entity/Q65927646;Freudenberg;männlich;1953-01-01T00:00:00Z;;;;;Berg;;;;;;;;;Freudenbergstrasse;An der Freudenbergstrasse standen zwei Liegenschaften mit dem Namen Freudenberg. Einerseits war es das Wohnhaus zum Freudenberg (1863-1923), Freudenbergstrasse 24, das sich heute bei den Liegenschaften Forsterstrasse 73/75 befinden würde, und andererseits das 1870 erbaute Wohnhaus an der Freudenbergstrasse 105, das 1896 zur Wirtschaft augebaut und 1962 abgetragen wurde.;Freudenbergstrasse;Andere;Andere
3519;10190668;Saum;Saum;;Saum;Saum;;Saumstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Saumstrasse;Strasse, die am Saumacker, dem am Rand des angebauten Gebietes liegenden Ackers, vorbei geht.;Saumstrasse;Natur;Natur
3631;10067888;Kurven;Kurve;;Kurven;Kurven;;Kurvenstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Kurvenstrasse;Kurze bogen- oder kurvenförmige Strasse in Zürich-Unterstrass. Sie hiess bis 1892 Rankstrasse. Weil es Strassen dieses Namens auch in Hirslanden und Riesbach gab, wurde sie auf die 1893 erfolgte Eingemeindung in die Stadt Zürich hin in Kurvenstrasse umbenannt.;Kurvenstrasse;Andere;Andere
3657;10110840;Blumen;Blume;;Blumen;Blumen;;Blumenweg;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Blumenweg;Frei gewählter Name.;Blumenweg;Andere;Andere
3686;10067868;Grünau;Grünau;LOC;Grünau;Grünau;MISC;Grünaustrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Grünaustrasse;Benannt nach der dort errichteten Überbauung der Baugenossenschaft Grünau.;Grünaustrasse;Andere;Andere
3737;10067632;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
3812;10205031;Hof;Hof;;Hof;Hof;;Hofstrasse;;;;;;hof$;;;;;;;;;;;Siedlung;;;;;;;;;Hofstrasse;Strasse in Hottingen, die in der Fallachse des Berges an der Ortsgegend Kühgass und weiter am Spiegelhof vorbei zur Tobelhofstrasse und Letztere schliesslich zum Tobelhof führt. Um 1860 hiess die Strasse deswegen noch Kühgasse. Dies wurde später wohl nicht mehr als passend empfunden, weshalb die Umbenennung in Hofstrasse erfolgte, einer verkürzten Form von Tobelhofstrasse.;Hofstrasse;Siedlung;Siedlung
3852;10091440;Viadukt;Viadukt;;Viadukt;Viadukt;;Viaduktstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Viaduktstrasse;Die von der Nordostbahn 1856 eröffnete Bahnstrecke vom Hauptbahnhof nach Oerlikon führte über einen Bahndamm nach Wipkingen, wo sich die Tunneleinfahrt befindet. Um eine geringere Steigung zu erhalten, wurde 1891-1894 ein weiter ausholendes Viadukt, das Wipkinger Viadukt, errichtet. Die alte Trassee des Damms bildet die heutige Röntgenstrasse.;Viaduktstrasse;Siedlung;Siedlung
3856;10031912;Rütihof;Rütihof;;Rütihof;Rütihof;;Rütihofstrasse;;Rütihof;;;;hof$;;rüti;;;;;;;;;Natur;;;;;;;;;Rütihofstrasse;Weiler, der auf einem gerodeten, urbar gemachten Stück Land angelegt wurde.;Rütihofstrasse;Siedlung;Siedlung
3871;10031287;Waisenhaus;Waisenhaus;;Waisenhaus;waisenhaus;;Waisenhausstrasse;;;;;;haus;;;;;;;;;;;Siedlung;;;;;;;;;Waisenhausstrasse;Im Zusammenhang mit der Neuanlage des Bahnhofquartiers in den 1860er Jahren erbaute Strasse. Sie ist benannt nach dem damals nahen, in der Verlängerung der Strasse an der Limmat gelegenen Waisenhaus (heute Bahnhofquai 3). Dieses wurde 1771 eröffnet und diente bis 1911 seinem ursprünglichen Zweck. Seit 1914 ist das Waisenhausgebäude das Amtshaus I der Zürcher Stadtverwaltung und das Hauptgebäude der Stadtpolizei.;Waisenhausstrasse;Siedlung;Siedlung
3893;10104789;Grund;Grund;;Grund;Grund;;Im Grund;;Grund;;;;;;grund;;;;;;;;;Natur;;;;;;;;;Im Grund;Wiese in einer Mulde.;Im Grund;Natur;Natur
3968;10129821;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
3977;10030970;Garten;Garten;;Garten;Garten;;Gartenstrasse;;;;;;garten;;;;;;;;;;;Siedlung;;;;;;;;;Gartenstrasse;Ab 1877 angelegte Strasse in der Enge, im Bereich des dortigen Parkrings und Villenquartiers. Der Name des Privatwegs, der erst 1895 zu einer öffentlich Strasse wurde, mag eine Erinnerung an die grossen und gepflegten Gärten der einstigen Landsitze und Villen in der Zürcher Vorortsgemeinde sein.;Gartenstrasse;Siedlung;Siedlung
4005;10118151;Alpstein;Alpstein;;Alpstein;Alpstein;;Alpsteinstrasse;;;;;;;;;;;;;;;;;Andere;Q672309;Q3977906;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Alpstein%20View%20from%20South.jpg;;Berg;Alpsteinstrasse;Alpstein;;;;;Berg
4011;10091567;Werd;Werd;;Werd;Werd;;Werdstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Werdstrasse;Strasse, die in die Gegend des Sihlhölzlis führte, wo sich die Sihl bis 1902 in die zwei Arme der wilden und der zahmen Sihl teilte und damit ein Werd bildete. Werd bezeichnete im alten Sprachgebrauch eine Insel oder Halbinsel, die durch zwei Flussarme gebildet wurde.;Werdstrasse;Gewässer;Gewässer
4016;10091564;Seeblick;Seeblick;LOC;Seeblick;Seeblick;;Seeblickstrasse;;;;^see;;;;;;;;;;;;;Gewässer;;;;;;;;;Seeblickstrasse;Strasse mit Ausblick auf den Zürichsee.;Seeblickstrasse;Gewässer;Gewässer
4029;10128815;Neuwiesen;Neuwiese;;Neuwiesen;Neuwiesen;PER;Neuwiesenstrasse;;;;;;;;wiese;;;;;;;;;Natur;;;;;;;;;Neuwiesenstrasse;Flurname.;Neuwiesenstrasse;Natur;Natur
4043;10032561;Friedau;Friedau;;Friedau;friedau;;Friedaustrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Friedaustrasse;Frei gewählter Name, wohl in Anspielung auf den benachbarten Friedhof Sihlfeld.;Friedaustrasse;Andere;Andere
4158;10091163;Rüti;Rüti;;Rüti;Rüti;;Rütiweg;;Rüti;;;;;;rüti;;;;;;;;;Natur;;;;;;;;;Rütiweg;Flurname «Rüti», d. h. gerodetes Waldstück.;Rütiweg;Natur;Natur
4260;10184440;Markt;Markt;;Markt;Markt;;Marktgasse;;;;;;markt;;;;;;;;;;;Siedlung;;;;;;;;;Marktgasse;Zentrales Teilstück des Marktes im alten Zürich und Kern der Wohn- und Wirtschaftssiedlung rechts der Limmat, damit ursprünglich auch einer der Hauptverbindungswege in der Stadt. An die Marktgasse als dem allgemeinen Marktplatz schlossen sich Spezialmärkte wie der Salzmarkt gegen Norden oder der Fischmarkt gegen Süden an. Das Marktareal insgesamt wurde im Mittelalter Forum oder Markt genannt, die engere Bezeichnung und Abgrenzung des Teiles Marktgasse erfolgte zu Beginn des 16. Jahrhunderts.;Marktgasse;Siedlung;Siedlung
4300;10187863;Steiner;Steiner;;Steiner;Steiner;PER;Steinerstrasse;Stein;Stein;;;;;;;http://www.wikidata.org/entity/Q95373737;Steiner;;;;;;;Lebewesen;Q123514;Q5;1796-03-18T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/JakobSteiner.jpg;male;Person;Steinerstrasse;Steiner;;;;;Person
4304;10073053;Maien;Maien;;Maien;maien;;Maienweg;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Maienweg;Vebindungsweg zur Maienstrasse. Die Benennung bezieht sich vermutlich auf «Maien», d. h. Blumenstrauss, da es in der unmittelbaren Umgebung noch weitere auf Pflanzen bezogene Strassennamen gibt.;Maienweg;Andere;Andere
4315;10019570;Hofwiesen;Hofwiesen;;Hofwiesen;Hofwiesen;;Hofwiesenstrasse;;;;;;;;wiese;;;;;;;;;Natur;;;;;;;;;Hofwiesenstrasse;«Hof» war die umgangssprachliche Bezeichnung für das 1256 erstmals erwähnte Bauerngut zum Fallenden Brunnenhof, weshalb dessen Wiesen als Hofwiesen bezeichnet wurden. Hier wurde 1932 das Radiostudio Zürich errichtet. Nach 1945 musste der Bauernhof dem Ausbau des Radiostudios und dem Bau von Wohnhäusern weichen.;Hofwiesenstrasse;Siedlung;Siedlung
4330;10085731;Quer;Quer;;Quer;Quer;;Querstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Querstrasse;Querverbindung vom neuen Dorfzentrum Oerlikon zum Franklinplatz.;Querstrasse;Andere;Andere
4333;10018651;Heu;Heu;;Heu;heu;;Heuweg;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Heuweg;Heuweg steht wohl im Zusammenhang mit dem Flurnamen «Auf der Heu» bzw. «Untere Heu» im Gebiet des Schwandenholzes und des heutigen Friedhofs («Hau»: Holzschlag im Wald, Rodung).;Heuweg;Andere;Andere
4484;10178594;Irchel;Irchel;;Irchel;Irchel;;Irchelstrasse;;;;;Irchel;;;;;;;;;;;;Berg;;;;;;;;;Irchelstrasse;Höhenzug im Kanton Zürich zwischen Töss und Thur am Rhein.;Irchelstrasse;Berg;Berg
4492;10190887;Quellen;Quelle;;Quellen;quellen;;Quellenstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Quellenstrasse;"Name einer durch Weinhändler Jacques Geiger erstellten Privatstrasse in Aussersihl; dessen Vorschlag Malagastrasse gefiel der Baukommission und dem Gemeinderat Aussersihl nicht. Worauf sich die Quelle im Strassennamen bezieht, ist unbekannt.";Quellenstrasse;Andere;Andere
4498;10121180;Oberwiesen;Oberwiese;;Oberwiesen;Oberwiesen;;Oberwiesenstrasse;;;;;;;;wiese;;;;;;;;;Natur;;;;;;;;;Oberwiesenstrasse;Flurname.;Oberwiesenstrasse;Natur;Natur
4501;10086747;Weinberg;Weinberg;;Weinberg;Weinberg;PER;Weinbergstrasse;;;;;berg$;;;;;;;;;;;;Berg;;;;;;;;;Weinbergstrasse;Der Name leitet sich ab vom Landgut zum Weinberg, das 1905 zu Gunsten der Überbauung Weinbergstrasse 29/31 resp. Hochfarbstrasse 2/4 abgetragen wurde. Er beschreibt aber auch, dass am ganzen Hang oberhalb der Stampfenbachstrasse bis weit ins 19. Jahrhundert Weinbau betrieben wurde.;Weinbergstrasse;Lebewesen;Lebewesen
4507;10068429;Goldacker;Goldacker;;Goldacker;Goldacker;;Goldackerweg;;;;;;;;acker;;;;;;;;;Natur;;;;;;;;;Goldackerweg;Flurname «Goldächer» (1368) mit Hinweis auf ertragreichen, fruchtbaren oder, ironisch gemeint, unergiebigen Acker.;Goldackerweg;Natur;Natur
4576;10257397;Vignes;Vignes;;Vignes;Vignes;;Chemin des Vignes;Vignes;;;;;;;;;;;;;;;;Lebewesen;Q3248828;Q55983715;9999;kein;;Lebewesen;Chemin des Vignes;Vignes;;;;;Lebewesen
4594;10257418;Yverdon;Yverdon;;Yverdon;Yverdon;;Route d'Yverdon;;Yverdon;;;;;;;;;;;;;;;Ortschaft;Q63946;Q70208;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Picswiss%20VD-47-14.jpg;;Ortschaft;Route d'Yverdon;Yverdon;;;;;Ortschaft
4608;10257398;Vignes;Vignes;;Vignes;Vignes;;Chemin des Vignes;Vignes;;;;;;;;;;;;;;;;Lebewesen;Q3248828;Q55983715;9999;kein;;Lebewesen;Chemin des Vignes;Vignes;;;;;Lebewesen
4681;10179732;Tell;Tell;;Tell;Tell;;Tellstrasse;;;;;;;;;;;;;;;;;Andere;Q30908;Q15632617;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Danise%20in%20%22William%20Tell%22%20LCCN2014715543.jpg;male;Andere;Tellstrasse;Tell;;;;;Andere
4686;10178595;Nelken;Nelke;;Nelken;Nelken;;Nelkenstrasse;Nelke;;;;;;;;;;;;;;;;Lebewesen;;;;;;;;;Nelkenstrasse;Blumenname.;Nelkenstrasse;Lebewesen;Lebewesen
4687;10017861;Feldegg;Feldegg;;Feldegg;Feldegg;;Feldeggstrasse;;;;;;;;feld;;;;;;;;;Natur;;;;;;;;;Feldeggstrasse;"Um 1800 bestand die Häusergruppe Feldegg an der heutigen Ecke Mainaustrasse aus zwei Wohnhäusern, einem Waschhaus und einer Scheune. Der Flurname «Egg» bezeichnet eine abgewinkelte Form oder eine Bodenerhebung; hier in Riesbach meinte der Name «Feldegg» vielleicht eine einst winkelförmige Wiese oder das Feld am Abhang Richtung Seefeld.";Feldeggstrasse;Natur;Natur
4691;10018143;Mühle;Mühle;;Mühle;mühle;;Mühlegasse;;;;;;mühle;;;;;;;;;;;Siedlung;;;;;;;;;Mühlegasse;"Zugangsweg vom Niederdorf zum einstigen oberen Mühlesteg über die Limmat, auf dem sich zeitweise sechs Mühlen befanden. Unter dem Namen Mühlegasse ist die Gasse im Jahr 1445 erstmals erwähnt. Der Mühlesteg wurde 1913 durch die heutige Rudolf-Brun-Brücke ersetzt; gleichzeitig wurde die Mühlegasse, die 1877 bis zum Seilergraben verlängert worden war, verbreitert und zu einer wichtigen Verkehrsachse ausgebaut.";Mühlegasse;Siedlung;Siedlung
4706;10131948;Schlössli;Schlössli;;Schlössli;Schlössli;;Schlössliweg;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Schlössliweg;Weg beim Haus zum Schlössli, Schlösslistrasse 28. Das Haus zum Schlössli wurde 1910 an Stelle des Schlösslis am Susenberg errichtet, das 1513 von Saffran-Zunftmeister und Apotheker Anton Klauser zu einem stattlichen Landhaus mit Garten ausgebaut wurde.;Schlössliweg;Siedlung;Siedlung
4729;10165392;Neugut;Neugut;;Neugut;Neugut;;Neugutstrasse;;;;;;;;;;;;;;;;;Andere;;;;;;;;;Neugutstrasse;Querstrasse im sogenannten Neugutquartier in der Enge, das ab etwa 1880 entstand und seinen Namen nach der früheren, 1928 abgetragenen Liegenschaft Neugut, Bederstrasse 119/121, erhalten hat. Das einstige Neugut bestand aus Wohnhaus, Scheune und Waschhaus und gehörte bis 1837 dem kantonalen Spitalamt. Ein Neugut konnte Teil einer Allmend sein, dessen Nutzung einer einzelnen Haushaltung überlassen blieb, oder einfach ein neu angelegtes Bauerngut.;Neugutstrasse;Siedlung;Siedlung
4819;10018163;Tödi;Tödi;;Tödi;tödi;;Tödistrasse;;;;;Tödi;;;;;;;;;;;;Berg;;;;;;;;;Tödistrasse;Benannt nach dem 3614 Meter hohen Tödi in den Glarner Alpen, dem höchsten Gebirgsmassiv der Nordostschweiz. In der Enge wurden um 1880/90 mehrere neue Strassen nach Schweizer Bergen benannt, die zum Teil vom damals angelegten Quai am Zürichsee, Alpenquai, aus sichtbar waren.;Tödistrasse;Berg;Berg
